Date,Open,High,Low,Close,Adj Close,Volume
8/2/18,23.120001,23.120001,23.120001,23.120001,17.198608,0
8/3/18,23.23,23.23,23.23,23.23,17.280434,0
8/6/18,23.24,23.24,23.24,23.24,17.287872,0
8/7/18,23.290001,23.290001,23.290001,23.290001,17.325071,0
8/8/18,23.290001,23.290001,23.290001,23.290001,17.325071,0
8/9/18,23.27,23.27,23.27,23.27,17.310192,0
8/10/18,23.129999,23.129999,23.129999,23.129999,17.206047,0
8/13/18,23.049999,23.049999,23.049999,23.049999,17.146538,0
8/14/18,23.110001,23.110001,23.110001,23.110001,17.191166,0
8/15/18,23.02,23.02,23.02,23.02,17.124218,0
8/16/18,23.15,23.15,23.15,23.15,17.220922,0
8/17/18,23.23,23.23,23.23,23.23,17.280434,0
8/20/18,23.299999,23.299999,23.299999,23.299999,17.332508,0
8/21/18,23.309999,23.309999,23.309999,23.309999,17.339945,0
8/22/18,23.280001,23.280001,23.280001,23.280001,17.317635,0
8/23/18,23.219999,23.219999,23.219999,23.219999,17.273001,0
8/24/18,23.299999,23.299999,23.299999,23.299999,17.332508,0
8/27/18,23.4,23.4,23.4,23.4,17.406893,0
8/28/18,23.389999,23.389999,23.389999,23.389999,17.399456,0
8/29/18,23.469999,23.469999,23.469999,23.469999,17.458969,0
8/30/18,23.389999,23.389999,23.389999,23.389999,17.399456,0
8/31/18,23.309999,23.309999,23.309999,23.309999,17.339945,0
9/4/18,23.25,23.25,23.25,23.25,17.295313,0
9/5/18,23.25,23.25,23.25,23.25,17.295313,0
9/6/18,23.209999,23.209999,23.209999,23.209999,17.265556,0
9/7/18,23.139999,23.139999,23.139999,23.139999,17.213484,0
9/10/18,23.190001,23.190001,23.190001,23.190001,17.250681,0
9/11/18,23.16,23.16,23.16,23.16,17.228365,0
9/12/18,23.049999,23.049999,23.049999,23.049999,17.269567,0
9/13/18,23.110001,23.110001,23.110001,23.110001,17.31452,0
9/14/18,23.129999,23.129999,23.129999,23.129999,17.329508,0
9/17/18,23.139999,23.139999,23.139999,23.139999,17.336998,0
9/18/18,23.18,23.18,23.18,23.18,17.366968,0
9/19/18,23.18,23.18,23.18,23.18,17.366968,0
9/20/18,23.32,23.32,23.32,23.32,17.471855,0
9/21/18,23.370001,23.370001,23.370001,23.370001,17.509321,0
9/24/18,23.27,23.27,23.27,23.27,17.434401,0
9/25/18,23.26,23.26,23.26,23.26,17.426908,0
9/26/18,23.200001,23.200001,23.200001,23.200001,17.381952,0
9/27/18,23.200001,23.200001,23.200001,23.200001,17.381952,0
9/28/18,23.200001,23.200001,23.200001,23.200001,17.381952,0
10/1/18,23.24,23.24,23.24,23.24,17.411919,0
10/2/18,23.25,23.25,23.25,23.25,17.419415,0
10/3/18,23.25,23.25,23.25,23.25,17.419415,0
10/4/18,23.17,23.17,23.17,23.17,17.359476,0
10/5/18,23.08,23.08,23.08,23.08,17.292048,0
10/8/18,23.08,23.08,23.08,23.08,17.292048,0
10/9/18,23.059999,23.059999,23.059999,23.059999,17.277063,0
10/10/18,22.690001,22.690001,22.690001,22.690001,16.999847,0
10/11/18,22.4,22.4,22.4,22.4,16.782576,0
10/12/18,22.49,22.49,22.49,22.49,16.850006,0
10/15/18,22.450001,22.450001,22.450001,22.450001,16.820032,0
10/16/18,22.719999,22.719999,22.719999,22.719999,17.022326,0
10/17/18,22.67,22.67,22.67,22.67,16.984863,0
10/18/18,22.5,22.5,22.5,22.5,16.8575,0
10/19/18,22.549999,22.549999,22.549999,22.549999,16.894958,0
10/22/18,22.459999,22.459999,22.459999,22.459999,16.82753,0
10/23/18,22.370001,22.370001,22.370001,22.370001,16.760098,0
10/24/18,22.08,22.08,22.08,22.08,16.542824,0
10/25/18,22.200001,22.200001,22.200001,22.200001,16.63273,0
10/26/18,22.059999,22.059999,22.059999,22.059999,16.527843,0
10/29/18,22.040001,22.040001,22.040001,22.040001,16.512857,0
10/30/18,22.23,22.23,22.23,22.23,16.655207,0
10/31/18,22.290001,22.290001,22.290001,22.290001,16.700163,0
11/1/18,22.459999,22.459999,22.459999,22.459999,16.82753,0
11/2/18,22.389999,22.389999,22.389999,22.389999,16.775082,0
11/5/18,22.540001,22.540001,22.540001,22.540001,16.88747,0
11/6/18,22.610001,22.610001,22.610001,22.610001,16.939911,0
11/7/18,22.84,22.84,22.84,22.84,17.112234,0
11/8/18,22.790001,22.790001,22.790001,22.790001,17.074774,0
11/9/18,22.700001,22.700001,22.700001,22.700001,17.007345,0
11/12/18,22.52,22.52,22.52,22.52,16.87248,0
11/13/18,22.52,22.52,22.52,22.52,16.87248,0
11/14/18,22.459999,22.459999,22.459999,22.459999,16.82753,0
11/15/18,22.57,22.57,22.57,22.57,16.909945,0
11/16/18,22.66,22.66,22.66,22.66,16.977375,0
11/19/18,22.559999,22.559999,22.559999,22.559999,16.902452,0
11/20/18,22.27,22.27,22.27,22.27,16.685179,0
11/21/18,22.34,22.34,22.34,22.34,16.737621,0
11/23/18,22.23,22.23,22.23,22.23,16.655207,0
11/26/18,22.4,22.4,22.4,22.4,16.782576,0
11/27/18,22.43,22.43,22.43,22.43,16.805056,0
11/28/18,22.620001,22.620001,22.620001,22.620001,16.947409,0
11/29/18,22.629999,22.629999,22.629999,22.629999,16.954899,0
11/30/18,22.719999,22.719999,22.719999,22.719999,17.022326,0
12/3/18,22.83,22.83,22.83,22.83,17.10474,0
12/4/18,22.48,22.48,22.48,22.48,16.842512,0
12/6/18,22.370001,22.370001,22.370001,22.370001,16.760098,0
12/7/18,22.16,22.16,22.16,22.16,16.602762,0
12/10/18,22.15,22.15,22.15,22.15,16.595268,0
12/11/18,22.16,22.16,22.16,22.16,16.602762,0
12/12/18,22.25,22.25,22.25,22.25,16.670197,0
12/13/18,22.27,22.27,22.27,22.27,16.685179,0
12/14/18,22.09,22.09,22.09,22.09,16.550316,0
12/17/18,21.82,21.82,21.82,21.82,16.348024,0
12/18/18,20.709999,20.709999,20.709999,20.709999,16.323591,0
12/19/18,20.58,20.58,20.58,20.58,16.221127,0
12/20/18,20.42,20.42,20.42,20.42,16.095016,0
12/21/18,20.280001,20.280001,20.280001,20.280001,15.984669,0
12/24/18,19.959999,19.959999,19.959999,19.959999,15.732445,0
12/26/18,20.389999,20.389999,20.389999,20.389999,16.071371,0
12/27/18,20.48,20.48,20.48,20.48,16.142309,0
12/28/18,20.530001,20.530001,20.530001,20.530001,16.181721,0
12/31/18,20.629999,20.629999,20.629999,20.629999,16.260534,0
1/2/19,20.610001,20.610001,20.610001,20.610001,16.24477,0
1/3/19,20.42,20.42,20.42,20.42,16.095016,0
1/4/19,20.809999,20.809999,20.809999,20.809999,16.402412,0
1/7/19,20.870001,20.870001,20.870001,20.870001,16.449707,0
1/8/19,20.950001,20.950001,20.950001,20.950001,16.512758,0
1/9/19,21.01,21.01,21.01,21.01,16.560053,0
1/10/19,21.059999,21.059999,21.059999,21.059999,16.599463,0
1/11/19,21.1,21.1,21.1,21.1,16.630991,0
1/14/19,21.01,21.01,21.01,21.01,16.560053,0
1/15/19,21.1,21.1,21.1,21.1,16.630991,0
1/16/19,21.08,21.08,21.08,21.08,16.615231,0
1/17/19,21.190001,21.190001,21.190001,21.190001,16.701929,0
1/18/19,21.35,21.35,21.35,21.35,16.828039,0
1/22/19,21.209999,21.209999,21.209999,21.209999,16.717691,0
1/23/19,21.24,21.24,21.24,21.24,16.741343,0
1/24/19,21.23,21.23,21.23,21.23,16.733458,0
1/25/19,21.309999,21.309999,21.309999,21.309999,16.796511,0
1/28/19,21.24,21.24,21.24,21.24,16.741343,0
1/29/19,21.27,21.27,21.27,21.27,16.764984,0
1/30/19,21.42,21.42,21.42,21.42,16.883215,0
1/31/19,21.49,21.49,21.49,21.49,16.938387,0
2/1/19,21.540001,21.540001,21.540001,21.540001,16.977802,0
2/4/19,21.59,21.59,21.59,21.59,17.017208,0
2/5/19,21.68,21.68,21.68,21.68,17.088146,0
2/6/19,21.66,21.66,21.66,21.66,17.072384,0
2/7/19,21.540001,21.540001,21.540001,21.540001,16.977802,0
2/8/19,21.549999,21.549999,21.549999,21.549999,16.98568,0
2/11/19,21.530001,21.530001,21.530001,21.530001,16.969913,0
2/12/19,21.65,21.65,21.65,21.65,17.064503,0
2/13/19,21.700001,21.700001,21.700001,21.700001,17.103914,0
2/14/19,21.68,21.68,21.68,21.68,17.088146,0
2/15/19,21.84,21.84,21.84,21.84,17.214254,0
2/19/19,21.870001,21.870001,21.870001,21.870001,17.237906,0
2/20/19,21.959999,21.959999,21.959999,21.959999,17.308844,0
2/21/19,21.9,21.9,21.9,21.9,17.261553,0
2/22/19,21.99,21.99,21.99,21.99,17.332485,0
2/25/19,22.01,22.01,22.01,22.01,17.348248,0
2/26/19,22.01,22.01,22.01,22.01,17.348248,0
2/27/19,22,22,22,22,17.34037,0
2/28/19,21.98,21.98,21.98,21.98,17.324608,0
3/1/19,22.02,22.02,22.02,22.02,17.356133,0
3/4/19,21.98,21.98,21.98,21.98,17.324608,0
3/5/19,21.98,21.98,21.98,21.98,17.324608,0
3/6/19,21.950001,21.950001,21.950001,21.950001,17.300959,0
3/7/19,21.84,21.84,21.84,21.84,17.214254,0
3/8/19,21.790001,21.790001,21.790001,21.790001,17.174847,0
3/11/19,21.969999,21.969999,21.969999,21.969999,17.316721,0
3/12/19,22,22,22,22,17.34037,0
3/13/19,21.940001,21.940001,21.940001,21.940001,17.423756,0
3/14/19,21.92,21.92,21.92,21.92,17.407869,0
3/15/19,22.02,22.02,22.02,22.02,17.487288,0
3/18/19,22.09,22.09,22.09,22.09,17.542885,0
3/19/19,22.08,22.08,22.08,22.08,17.534939,0
3/20/19,22.02,22.02,22.02,22.02,17.487288,0
3/21/19,22.15,22.15,22.15,22.15,17.590525,0
3/22/19,21.940001,21.940001,21.940001,21.940001,17.423756,0
3/25/19,21.93,21.93,21.93,21.93,17.415815,0
3/26/19,22.030001,22.030001,22.030001,22.030001,17.495232,0
3/27/19,21.98,21.98,21.98,21.98,17.455524,0
3/28/19,22.02,22.02,22.02,22.02,17.487288,0
3/29/19,22.08,22.08,22.08,22.08,17.534939,0
4/1/19,22.219999,22.219999,22.219999,22.219999,17.64612,0
4/2/19,22.25,22.25,22.25,22.25,17.669943,0
4/3/19,22.27,22.27,22.27,22.27,17.685829,0
4/4/19,22.290001,22.290001,22.290001,22.290001,17.701712,0
